repeat,auroc,average_precision,brier
0,0.9329004329004329,0.8843265806135517,0.1150603448394407
1,0.8116883116883118,0.8164101426325558,0.17551808350663575
2,0.8571428571428572,0.8557076902207776,0.14858189755251736
3,0.9004329004329005,0.8952690816918962,0.13808588380296377
4,0.7900432900432901,0.7866000617800788,0.20279406133405464
5,0.8376623376623377,0.8163324948524076,0.16388279711547943
6,0.8506493506493507,0.8541835645447313,0.16778967580730386
7,0.8593073593073594,0.880796829798806,0.15899478039754109
8,0.7965367965367964,0.8084636719371694,0.18947613924170692
9,0.8593073593073594,0.879230499097626,0.14624172895099424
