gene,selection_count,median_coefficient,selection_frequency
C1QC,46,-0.07046634905345028,0.92
LGMN,44,-0.04580844750774649,0.88
C1QA,42,-0.0704277288157423,0.84
MPEG1,42,-0.06134675570311235,0.84
C1QB,41,-0.0667933746313706,0.82
UCP2,41,-0.04126590988942069,0.82
STAB1,38,-0.032309979233679634,0.76
HPGDS,35,-0.05068435436103468,0.7
LAIR1,35,-0.03551346521347546,0.7
F13A1,34,-0.044913302449204925,0.68
PLA2G5,34,-0.06011830987752641,0.68
TDRP,33,0.07709163503050014,0.66
ADAP2,31,-0.04388665692099422,0.62
CD248,30,-0.04864325706770361,0.6
TMEM185A,29,-0.1631509616387671,0.58
SIGLEC1,27,-0.04347396601746933,0.54
CSF1R,26,-0.01574396418156363,0.52
PLXND1,24,-0.043076590817574444,0.48
CD209,23,-0.038791961261863024,0.46
SUSD1,23,-0.08052926529438094,0.46
CLEC7A,21,0.22655051771091836,0.42
GPR146,21,-0.020341030009276066,0.42
TMEM109,21,-0.16243136580407183,0.42
PSAP,20,-0.03485079596046976,0.4
CASP9,19,0.39218205827518665,0.38
ALX1,17,-0.038978586127860836,0.34
RP11-6I2.3,17,-0.09092876699650561,0.34
SGCG,17,-0.076509224819707,0.34
CCL13,16,-0.049581369375713086,0.32
LILRB5,16,-0.013550649377349653,0.32
CTD-2325A15.5,15,-0.07131314153009109,0.3
EVA1A,15,0.03673446197841267,0.3
IL10RA,15,-0.03279375867929274,0.3
TPP1,15,-0.011597067827416513,0.3
ISLR,14,-0.08504833192979189,0.28
CNR1,13,0.0779289787379862,0.26
LOC101929747,13,-0.04428656134459875,0.26
LOC284825,13,-0.03553986269622408,0.26
PLEK,13,-0.027914413782868845,0.26
LIMD1,12,-0.1760498044566184,0.24
CTSZ,10,-0.043256116174239564,0.2
PLD3,10,-0.04790244406184814,0.2
RNASE1,10,-0.16544539672611297,0.2
SUOX,10,-0.05860578189326453,0.2
ANGPTL2,9,-0.04994370237285845,0.18
FOXM1,9,0.12327830193739857,0.18
NT5C1A,9,0.055647337704182946,0.18
SRD5A3,9,-0.04374117866225196,0.18
VAT1,9,-0.037068642460646416,0.18
C20orf194,8,-0.04570226570454732,0.16
CSTA,8,-0.04204008647112891,0.16
DAB2,8,0.004077659792824293,0.16
GGA2,8,-0.08375010247385464,0.16
KIAA1644,8,0.18736032418643223,0.16
PAXIP1-AS1,8,-0.05701591278123475,0.16
RPS27A,8,0.06681247665308358,0.16
SLC46A3,8,-0.014058289708946105,0.16
USP30,8,-0.05785663890681285,0.16
CLEC4GP1,7,-0.060424905010449476,0.14
FKBP15,7,-0.031843903135760965,0.14
MGAT1,7,-0.04522983771481787,0.14
MGLL,7,-0.039112727287185296,0.14
MIR4647,7,-0.1945111443486243,0.14
MMP14,7,-0.046997763450287514,0.14
RP11-433A10.3,7,0.040484110296981096,0.14
SLIT3,7,-0.14496399824006975,0.14
SURF4,7,-0.01608665654513223,0.14
AHNAK,6,-0.05225621720245957,0.12
CD84,6,-0.04271128462768255,0.12
GALNT12,6,-0.023749966429249838,0.12
GDE1,6,0.14274651066568705,0.12
KRT222,6,-0.01888174691803756,0.12
NGEF,6,0.0756142023542217,0.12
NINJ1,6,-0.08047598613191047,0.12
PPL,6,-0.18353994275461877,0.12
VSIG4,6,-0.01849356096106977,0.12
ZNF385A,6,-0.035619448630003395,0.12
ACP2,5,-0.0295227397551441,0.1
ALDH2,5,-0.07115153884194328,0.1
CECR1,5,-0.018263651108669798,0.1
EPB41L1,5,-0.08458592970826063,0.1
ICAM4,5,0.027208278087013257,0.1
KCTD15,5,0.03277657734545353,0.1
KLB,5,-0.04115434659945026,0.1
LOC100506797,5,0.13223389210829686,0.1
MEIS1,5,-0.05054474179718242,0.1
PLTP,5,-0.04449409333440102,0.1
POLR2E,5,-0.03299627190545629,0.1
SEPP1,5,-0.009661346641677634,0.1
ADAMTSL1,4,-0.05428312412034574,0.08
AKR1B1,4,-0.005976910063493124,0.08
BCAT1,4,-0.013503957504976374,0.08
CD14,4,-0.04803089671756213,0.08
FOS,4,0.04658571652260789,0.08
GAS7,4,-0.04015786898303707,0.08
HECTD3,4,0.012323875731456567,0.08
HNMT,4,-0.05178147723525872,0.08
IGDCC4,4,-0.12477412532400928,0.08
KCNN2,4,0.0906308146899553,0.08
LAMA4,4,0.0567800888666353,0.08
MAF,4,0.0772641184783591,0.08
NHEJ1,4,-0.07001662679914751,0.08
P2RY14,4,-0.02875564538157412,0.08
PALM,4,-0.028798384133998475,0.08
PDCD1LG2,4,-0.04178277688267386,0.08
PDGFC,4,-0.01619818229930963,0.08
PEX2,4,-0.17684513684415898,0.08
RPL32P3,4,-0.030225058641354538,0.08
SCARA5,4,-0.002357054776348834,0.08
SCN9A,4,-0.0029377814498855615,0.08
SLC11A1,4,0.0401539712131856,0.08
TNXA,4,-0.04463289964794859,0.08
ANKH,3,0.04106797276954725,0.06
ANO2,3,0.16458044552155124,0.06
ARRB1,3,-0.050322108982512215,0.06
CD68,3,-0.02556564739741603,0.06
CD99,3,-0.02291709400143487,0.06
CFH,3,-0.02002165959829947,0.06
CIT,3,0.008178243792488157,0.06
CRYL1,3,-0.046762096621815644,0.06
CSRNP1,3,0.03050822319325921,0.06
EGR1,3,0.06056815972278144,0.06
EMB,3,-0.017776695418844083,0.06
FAXDC2,3,0.08870133753708576,0.06
GNPDA1,3,-0.04000324498114757,0.06
GPNMB,3,-0.018474823538500978,0.06
LYVE1,3,0.0489536801387045,0.06
OS9,3,-0.02427893701673098,0.06
PREB,3,-0.040617211969756345,0.06
SPATA18,3,-0.03498323347136229,0.06
SYTL4,3,-0.046088916793124254,0.06
TMEM184B,3,-0.03937812628425441,0.06
TNFAIP2,3,-0.039879694677677345,0.06
ZDHHC7,3,-0.04066162559544429,0.06
AATK,2,0.15487629102545006,0.04
ABCA6,2,-0.06446859099668746,0.04
APLP2,2,0.14709808579374126,0.04
BLCAP,2,0.02469646642445734,0.04
BMP2,2,0.1122272601061257,0.04
C11orf30,2,-0.20304194011892412,0.04
C7orf49,2,0.10151697633925044,0.04
CCDC115,2,-0.047654249687160505,0.04
CCL3,2,0.26165549534027505,0.04
CD34,2,-0.05335111943023809,0.04
CLSTN1,2,-0.05061520442513199,0.04
CTSB,2,0.061886358476677596,0.04
CTSC,2,-0.3644757142053727,0.04
CYBB,2,-0.061262268168850706,0.04
EI24,2,-0.10916591334759743,0.04
FMO3,2,-0.15774796910687955,0.04
FOSB,2,0.03168880534817505,0.04
