subject_id,PC1,PC2,class_label,n_source_samples,source_titles,distance,qc_flag
Control_1,7.33926918553588,32.08196422106157,Control,1,Normal Anterior Orbit 1_1ANo,28.30147498658896,False
Control_10,7.8680349583583915,36.65558458490421,Control,1,Normal Anterior Orbit 10_10ANo,32.9054228286686,False
Control_11,-54.48221125872961,13.036668739182703,Control,1,Normal Anterior Orbit 11_11ANo,59.03386718527001,False
Control_12,-23.677416636023494,26.821657379407817,Control,1,Normal Anterior Orbit 12_12ANo,35.76408116282587,False
Control_13,44.834263972207765,-10.506982582244028,Control,1,Normal Anterior Orbit 13_13ANo,43.46963332737267,False
Control_14,-27.77760043128472,-7.639631619941131,Control,2,Normal Anterior Orbit 14 Technical replicate 1_14.1ANo | Normal Anterior Orbit 14 Technical replicate 2_14.2ANo,33.70488779916911,False
Control_16,62.20731704275354,16.442872699828687,Control,1,Normal Anterior Orbit 16_16ANo,59.66485112237722,False
Control_2,30.422743517019725,2.5725080496727726,Control,1,Normal Anterior Orbit 2_2ANo,26.605588762803084,False
Control_21,96.37744553629405,5.805145142581776,Control,1,Normal Anterior Orbit 21_21ANo,92.53988643201332,False
Control_23,-27.20074737327919,-20.738892726667537,Control,1,Normal Anterior Orbit 23_23ANo,39.70236528284532,False
Control_24,-32.41664146369689,-23.161762213244298,Control,1,Normal Anterior Orbit 24_24ANo,45.31203915880378,False
Control_26,4.848034932311223,5.449022020694122,Control,1,Normal Anterior Orbit 26_26ANo,1.7600012778837568,False
Control_27,11.720241403703923,13.666981146382104,Control,1,Normal Anterior Orbit 27_27ANo,12.46558016856836,False
Control_28,-30.078193568425423,-20.869909588131023,Control,1,Normal Anterior Orbit 28_28ANo,42.06875212481778,False
Control_3,63.48316971415495,-15.873102852336123,Control,1,Normal Anterior Orbit 3_3ANo,62.85109684743095,False
Control_4,41.32422353534352,7.6704925957045855,Control,1,Normal Anterior Orbit 4_4BNo,37.64874071343123,False
Control_5,101.76755546083413,-1.8483747409622175,Control,1,Normal Anterior Orbit 5_5ANo,98.08656100692309,False
Control_6,47.00009688555889,12.71284580876875,Control,1,Normal Anterior Orbit 6_6ANo,44.01665003307767,False
Control_7,37.689098012848845,-3.7395835181535126,Control,1,Normal Anterior Orbit 7_7ANo,34.706840202853215,False
Control_8,-63.32777716948551,11.465708455505274,Control,1,Normal Anterior Orbit 8_8ANo,67.59703626905417,False
Control_9,12.25075627635309,29.228782186843414,Control,1,Normal Anterior Orbit 9_9ANo,26.59304686615493,False
TED_10,79.17507427675486,-17.860815678211658,TED,1,TED Anterior Orbit 10_10AGr,78.42694480811687,False
TED_11,-50.93218257249508,11.800863995741986,TED,1,TED Anterior Orbit 11_11AGr,55.34060412643122,False
TED_12,-91.65080731186175,-3.945679840841324,TED,1,TED Anterior Orbit 12_12AGr,95.83565808180039,False
TED_13,-62.98721514487895,4.357593788478089,TED,1,TED Anterior Orbit 13_13AGr,66.84344437141743,False
TED_15,-49.50088191123164,17.04429537062828,TED,1,TED Anterior Orbit 15_15AGr,54.92850971627188,False
TED_16,-70.39796048723532,7.829620878745473,TED,1,TED Anterior Orbit 16_16AGr,74.35212013277147,False
TED_18,-34.47776136133812,21.311086405208098,TED,1,TED Anterior Orbit 18_18AGr,42.062339676202996,False
TED_2,29.649814197825645,-13.145711860267369,TED,2,TED Anterior Orbit 2_2AGr | TED Anterior Orbit 2_2BGr,30.970784091939347,False
TED_20,-54.716027441731335,15.143315055386177,TED,1,TED Anterior Orbit 20_20AGr,59.622668506461146,False
TED_22,72.70869677896954,-16.879864224325086,TED,2,TED Anterior Orbit 22_22AGr | TED Anterior Orbit 22_22BGr,71.94851401399892,False
TED_23,44.98177621994822,-23.122669615554972,TED,1,TED Anterior Orbit 23_23AGr,49.262563619056905,False
TED_24,-48.47050496074738,-25.860702829445223,TED,1,TED Anterior Orbit 24_24AGr,60.244441638139385,False
TED_25,71.76114342175967,3.995755936541714,TED,1,TED Anterior Orbit 25_25AGr,67.90589355521283,False
TED_26,-40.19879962990932,-19.866491812045542,TED,3,TED Anterior Orbit 26_26AGr | TED Anterior Orbit 26 Technical replicate 1_26.1BGr | TED Anterior Orbit 26 Technical replicate 2_26.2BGr,50.10155830561727,False
TED_28,-40.57615390085366,-8.772608887679006,TED,2,TED Anterior Orbit 28 Technical replicate 1_28.1AGr | TED Anterior Orbit 28 Technical replicate 2_28.2AGr,46.22965261632591,False
TED_3,62.96284221786084,-14.611591710510826,TED,1,TED Anterior Orbit 3_3AGr,61.96725635387922,False
TED_4,-85.27621756120965,-74.22586342412392,TED,1,TED Anterior Orbit 4 Technical replicate 2_4.2AGr,118.5876900071423,True
TED_5,51.72798091398947,-13.020047063685414,TED,1,TED Anterior Orbit 5_5AGr,50.8068492398743,False
TED_6,3.855249866546844,-13.847669966112987,TED,1,TED Anterior Orbit 6_6AGr,17.8434259026547,False
TED_7,-25.566550573192604,21.81854075246421,TED,1,TED Anterior Orbit 7_7AGr,34.39904068009063,False
TED_8,-44.50506337144889,17.333947458595944,TED,1,TED Anterior Orbit 8_8AGr,50.165996945700826,False
TED_9,-27.7381141978744,15.292704082155437,TED,1,TED Anterior Orbit 9_9AGr,33.55237234998069,False
