threshold,tn,fp,fn,tp,sensitivity,specificity,ppv,npv,balanced_accuracy
0.05,0,21,0,22,1.0,0.0,0.5116279069767442,,0.5
0.1,2,19,0,22,1.0,0.09523809523809523,0.5365853658536586,1.0,0.5476190476190477
0.15,5,16,0,22,1.0,0.23809523809523808,0.5789473684210527,1.0,0.6190476190476191
0.2,8,13,1,21,0.9545454545454546,0.38095238095238093,0.6176470588235294,0.8888888888888888,0.6677489177489178
0.25,10,11,1,21,0.9545454545454546,0.47619047619047616,0.65625,0.9090909090909091,0.7153679653679654
0.3,13,8,1,21,0.9545454545454546,0.6190476190476191,0.7241379310344828,0.9285714285714286,0.7867965367965368
0.35,13,8,2,20,0.9090909090909091,0.6190476190476191,0.7142857142857143,0.8666666666666667,0.7640692640692641
0.4,16,5,2,20,0.9090909090909091,0.7619047619047619,0.8,0.8888888888888888,0.8354978354978355
0.45,16,5,2,20,0.9090909090909091,0.7619047619047619,0.8,0.8888888888888888,0.8354978354978355
0.5,16,5,2,20,0.9090909090909091,0.7619047619047619,0.8,0.8888888888888888,0.8354978354978355
0.55,16,5,3,19,0.8636363636363636,0.7619047619047619,0.7916666666666666,0.8421052631578947,0.8127705627705628
0.6,16,5,3,19,0.8636363636363636,0.7619047619047619,0.7916666666666666,0.8421052631578947,0.8127705627705628
0.65,17,4,6,16,0.7272727272727273,0.8095238095238095,0.8,0.7391304347826086,0.7683982683982684
0.7,19,2,8,14,0.6363636363636364,0.9047619047619048,0.875,0.7037037037037037,0.7705627705627706
0.75,20,1,11,11,0.5,0.9523809523809523,0.9166666666666666,0.6451612903225806,0.7261904761904762
0.8,21,0,14,8,0.36363636363636365,1.0,1.0,0.6,0.6818181818181819
0.85,21,0,17,5,0.22727272727272727,1.0,1.0,0.5526315789473685,0.6136363636363636
0.9,21,0,20,2,0.09090909090909091,1.0,1.0,0.5121951219512195,0.5454545454545454
0.95,21,0,22,0,0.0,1.0,,0.4883720930232558,0.5
