sample_id,title,source_name,platform_id
GSM1407182,TED Anterior Orbit 2_2AGr,Anterior Orbit,GPL570
GSM1407183,TED Anterior Orbit 2_2BGr,Anterior Orbit,GPL570
GSM1407184,TED Anterior Orbit 3_3AGr,Anterior Orbit,GPL570
GSM1407185,TED Anterior Orbit 4 Technical replicate 2_4.2AGr,Anterior Orbit,GPL570
GSM1407186,TED Anterior Orbit 5_5AGr,Anterior Orbit,GPL570
GSM1407187,TED Anterior Orbit 6_6AGr,Anterior Orbit,GPL570
GSM1407188,TED Anterior Orbit 7_7AGr,Anterior Orbit,GPL570
GSM1407189,TED Anterior Orbit 8_8AGr,Anterior Orbit,GPL570
GSM1407190,TED Anterior Orbit 9_9AGr,Anterior Orbit,GPL570
GSM1407191,TED Anterior Orbit 10_10AGr,Anterior Orbit,GPL570
GSM1407192,TED Anterior Orbit 11_11AGr,Anterior Orbit,GPL570
GSM1407193,TED Anterior Orbit 12_12AGr,Anterior Orbit,GPL570
GSM1407194,TED Anterior Orbit 13_13AGr,Anterior Orbit,GPL570
GSM1407195,TED Lacrimal gland 14 Technical replicate 1_14.1AGr,Lacrimal gland,GPL570
GSM1407196,TED Lacrimal gland 14 Technical replicate 2_14.2AGr,Lacrimal gland,GPL570
GSM1407197,TED Anterior Orbit 15_15AGr,Anterior Orbit,GPL570
GSM1407198,TED Anterior Orbit 16_16AGr,Anterior Orbit,GPL570
GSM1407199,TED Lacrimal gland 17 Technical replicate 1_17.1AGr,Lacrimal gland,GPL570
GSM1407200,TED Lacrimal gland 17 Technical replicate 2_17.2AGr,Lacrimal gland,GPL570
GSM1407201,TED Anterior Orbit 18_18AGr,Anterior Orbit,GPL570
GSM1407202,TED Lacrimal gland 19_19AGr,Lacrimal gland,GPL570
GSM1407203,TED Lacrimal gland 19 Technical replicate 1_19.1BGr,Lacrimal gland,GPL570
GSM1407204,TED Lacrimal gland 19 Technical replicate 2_19.2BGr,Lacrimal gland,GPL570
GSM1407205,TED Anterior Orbit 20_20AGr,Anterior Orbit,GPL570
GSM1407206,TED Lacrimal gland 21_21AGr,Lacrimal gland,GPL570
GSM1407207,TED Anterior Orbit 22_22AGr,Anterior Orbit,GPL570
GSM1407208,TED Anterior Orbit 22_22BGr,Anterior Orbit,GPL570
GSM1407209,TED Anterior Orbit 23_23AGr,Anterior Orbit,GPL570
